epoch,acc,loss,val_acc,val_loss
0,0.4375,1.7355316162109375,0.4625,1.545828139781952
1,0.6,1.6110258758068086,0.65,1.5025562524795533
2,0.5625,1.5842799186706542,0.7,1.3941953659057618
3,0.625,1.548309850692749,0.625,1.4304074048995972
4,0.6625,1.436230516433716,0.675,1.3676087141036988
5,0.5375,1.4580644011497497,0.65,1.4717949867248534
6,0.625,1.5273822784423827,0.75,1.2220520555973053
7,0.675,1.4149994492530822,0.85,1.1426817715167998
8,0.6375,1.4880044162273407,0.7875,1.2738506555557252
9,0.7125,1.3695787906646728,0.8125,1.178573763370514
10,0.7,1.419890809059143,0.675,1.3778985023498536
11,0.7625,1.1676424384117126,0.8125,1.2329310059547425
12,0.7375,1.2793261051177978,0.8125,1.051008665561676
13,0.775,1.3077599465847016,0.725,1.2053456842899322
14,0.75,1.2191104531288146,0.775,1.1965643167495728
15,0.75,1.16924609541893,0.775,1.144023025035858
16,0.5875,1.4333192884922028,0.8125,1.1429432570934295
17,0.7375,1.1629956781864166,0.7875,1.0963454365730285
18,0.7125,1.182669323682785,0.775,1.1504428267478943
19,0.6875,1.2360730350017548,0.6875,1.235470575094223
20,0.7625,1.1766627550125122,0.7125,1.2127146005630494
21,0.7375,1.1614331364631654,0.7,1.190299892425537
22,0.675,1.3277766764163972,0.8,1.1399627566337585
